# Subcatchment X-Coord Y-Coord
50 44.5341 33.2981
51 82.0191 100
51 73.1967 100
51 68.4117 86.7525
51 76.3114 81.1156
52 73.5563 50.3148
52 73.0243 61.6521
52 72.6686 62.0117
52 72.4943 62.0181
52 62.6231 60.3498
52 64.2083 50.4072
53 60.7796 41.2061
53 61.3082 33.7275
53 54.888 30.2619
53 49.9473 31.0959
53 51.8885 42.2095
53 52.6205 42.908
54 28.5421 33.3397
54 28.5968 31.4099
54 16.652 30.5353
54 14.0554 36.6803
54 17.0921 38.0802
55 73.1967 100
55 58.9783 100
55 60.0377 86.2007
55 68.4117 86.7525
56 42.8152 40.5806
56 51.0182 42.3258
56 51.8885 42.2095
56 49.9473 31.0959
56 48.6448 30.5499
56 44.5341 33.2981
56 41.235 37.6727
57 58.8151 80.1624
57 60.0377 86.2007
57 68.4117 86.7525
57 76.3114 81.1156
57 76.252 80.1116
57 74.1657 77.5137
57 65.2291 77.5853
58 66.2924 69.3609
58 65.1165 70.9434
58 65.2291 77.5853
58 74.1657 77.5137
58 75.0826 71.7993
58 72.6686 62.0117
58 72.4943 62.0181
59 60.8457 41.2751
59 60.7796 41.2061
59 52.6205 42.908
59 52.6315 49.8013
59 55.815 50.8656
59 62.2001 48.2404
60 61.2976 60.7372
60 60.3711 59.7674
60 55.815 50.8656
60 62.2001 48.2404
60 62.6604 48.5559
60 64.2083 50.4072
60 62.6231 60.3498
61 51.0182 42.3258
61 42.5186 47.2286
61 42.8152 40.5806
62 59.0123 63.7653
62 66.2924 69.3609
62 72.4943 62.0181
62 62.6231 60.3498
62 61.2976 60.7372
63 66.2924 69.3609
63 65.1165 70.9434
63 58.2919 64.6867
63 59.0123 63.7653
64 41.8312 48.8119
64 36.7005 51.2942
64 32.7086 39.4219
64 32.6807 38.9194
64 41.235 37.6727
64 42.8152 40.5806
64 42.5186 47.2286
65 41.8312 48.8119
65 50.3509 51.5823
65 52.6315 49.8013
65 52.6205 42.908
65 51.8885 42.2095
65 51.0182 42.3258
65 42.5186 47.2286
66 50.3509 51.5823
66 49.6801 55.9325
66 60.3711 59.7674
66 55.815 50.8656
66 52.6315 49.8013
67 19.4214 44.3116
67 22.9858 43.9238
67 29.5904 35.4694
67 28.5421 33.3397
67 17.0921 38.0802
67 18.5475 43.3262
68 54.2558 77.4032
68 58.8151 80.1624
68 65.2291 77.5853
68 65.1165 70.9434
68 58.2919 64.6867
68 55.9433 66.572
69 59.0123 63.7653
69 58.2919 64.6867
69 55.9433 66.572
69 46.1691 61.499
69 46.1523 61.4422
69 49.6801 55.9325
69 60.3711 59.7674
69 61.2976 60.7372
70 18.5475 43.3262
70 0 51.3754
70 0 36.9595
70 14.0554 36.6803
70 17.0921 38.0802
71 28.6032 44.1585
71 32.7086 39.4219
71 32.6807 38.9194
71 29.5904 35.4694
71 22.9858 43.9238
71 23.2146 44.1381
72 50.3509 51.5823
72 49.6801 55.9325
72 46.1523 61.4422
72 35.1532 54.5005
72 36.7005 51.2942
72 41.8312 48.8119
73 28.6032 44.1585
73 27.0823 46.578
73 23.2217 44.1466
73 23.2146 44.1381
74 35.1532 54.5005
74 36.7005 51.2942
74 32.7086 39.4219
74 28.6032 44.1585
74 27.0823 46.578
74 27.2007 50.4453
74 31.6559 55.8902
74 32.476 56.0206
75 17.9916 51.1449
75 5.01974 58.1701
75 0 57.8431
75 0 51.3754
75 18.5475 43.3262
75 19.4214 44.3116
75 19.2135 49.3301
76 27.0823 46.578
76 27.2007 50.4453
76 24.6256 49.4784
76 23.2217 44.1466
77 23.2146 44.1381
77 23.2217 44.1466
77 24.6256 49.4784
77 19.2135 49.3301
77 19.4214 44.3116
77 22.9858 43.9238
78 58.9783 100
78 46.0728 100
78 46.0658 98.951
78 50.2542 78.1466
78 54.2558 77.4032
78 58.8151 80.1624
78 60.0377 86.2007
79 46.0658 98.951
79 46.0728 100
79 33.2751 100
79 33.2251 97.678
79 38.7289 86.7981
79 41.9365 85.6535
80 50.2542 78.1466
80 46.0658 98.951
80 41.9365 85.6535
80 43.4077 76.7193
81 27.2007 50.4453
81 31.6559 55.8902
81 27.6522 57.0625
81 26.086 56.7323
81 17.9916 51.1449
81 19.2135 49.3301
81 24.6256 49.4784
82 54.2558 77.4032
82 50.2542 78.1466
82 43.4077 76.7193
82 39.4254 74.4467
82 46.1691 61.499
82 55.9433 66.572
83 32.7571 77.9028
83 38.7289 86.7981
83 33.2251 97.678
83 31.1444 83.5383
84 33.9963 74.4348
84 33.2282 75.153
84 32.7571 77.9028
84 38.7289 86.7981
84 41.9365 85.6535
84 43.4077 76.7193
84 39.4254 74.4467
85 26.086 56.7323
85 9.42082 59.9836
85 5.01974 58.1701
85 17.9916 51.1449
86 33.0896 71.6899
86 33.9963 74.4348
86 39.4254 74.4467
86 46.1691 61.499
86 46.1523 61.4422
86 35.1532 54.5005
86 32.476 56.0206
87 19.0261 71.0079
87 19.4336 72.8691
87 12.9269 76.1176
87 0 72.1932
87 0 57.8431
87 5.01974 58.1701
87 9.42082 59.9836
87 17.2872 65.2047
